,ctr,num_clicks,cpc,budget_spent,num_impressions_won,random_bidding-upper_limit
0,0.0013112382158117243,116.0,53.87914655172414,6249981.0,88466.0,325.1724137931035
1,0.001073379244834956,113.0,55.309628318584075,6249988.0,105275.0,192.75862068965517
2,0.0009711600159547717,112.0,55.8029375,6249929.0,115326.0,143.10344827586206
3,0.0009247485839787308,112.0,55.80338392857143,6249979.0,121114.0,118.27586206896552
4,0.0009138903168425089,112.0,55.80352678571428,6249995.0,122553.0,110.0
5,0.0009724558452481076,111.0,56.30616216216216,6249984.0,114144.0,151.3793103448276
6,0.0009143177212895999,111.0,56.30624324324324,6249993.0,121402.0,118.27586206896552
7,0.0009034747149171,111.0,56.30616216216216,6249984.0,122859.0,110.0
8,0.0009008115568337713,109.0,57.338715596330275,6249920.0,121002.0,118.27586206896552
9,0.0011195422316208484,108.0,57.87028703703704,6249991.0,96468.0,242.41379310344828
10,0.0009627899513256191,108.0,57.87016666666666,6249978.0,112174.0,159.6551724137931
11,0.0009467538615284815,108.0,57.86990740740741,6249950.0,114074.0,151.3793103448276
12,0.0009847954938703384,107.0,58.410943925233646,6249971.0,108652.0,176.20689655172413
13,0.0010376795136611487,106.0,58.961603773584905,6249930.0,102151.0,209.31034482758622
14,0.0009160991461264563,106.0,58.96206603773585,6249979.0,115708.0,143.10344827586206
15,0.001099574971981984,104.0,60.095759615384615,6249959.0,94582.0,258.9655172413793
16,0.0009895431926088736,104.0,60.095509615384614,6249933.0,105099.0,192.75862068965517
17,0.0009426181218333922,104.0,60.096096153846155,6249994.0,110331.0,167.93103448275863
18,0.0008851063829787234,104.0,60.09591346153846,6249975.0,117500.0,134.82758620689657
19,0.0011494509418801893,103.0,60.679427184466014,6249981.0,89608.0,308.62068965517244
20,0.001032705688904931,103.0,60.679582524271844,6249997.0,99738.0,225.86206896551727
21,0.0009304930709884908,103.0,60.67932038834952,6249970.0,110694.0,167.93103448275863
22,0.000828998699609883,102.0,61.27407843137255,6249956.0,123040.0,110.0
23,0.001002212806493545,101.0,61.88113861386139,6249995.0,100777.0,217.58620689655174
24,0.0009767513829252253,101.0,61.88087128712871,6249968.0,103404.0,201.0344827586207
25,0.0011078368377905302,100.0,62.4996,6249960.0,90266.0,300.3448275862069
26,0.001030630333511976,100.0,62.49987,6249987.0,97028.0,242.41379310344828
27,0.0009930979691146532,100.0,62.499089999999995,6249909.0,100695.0,217.58620689655174
28,0.000838335401227323,100.0,62.49998,6249998.0,119284.0,126.55172413793103
29,0.0008375981036778933,100.0,62.499629999999996,6249963.0,119389.0,126.55172413793103
30,0.0011283594337687206,99.0,63.13058585858586,6249928.0,87738.0,341.72413793103453
31,0.0011131975757030573,99.0,63.1309494949495,6249964.0,88933.0,316.8965517241379
32,0.0010232875437998078,99.0,63.13075757575758,6249945.0,96747.0,242.41379310344828
33,0.0009686698890432673,99.0,63.13077777777778,6249947.0,102202.0,209.31034482758622
34,0.0009123667161249297,99.0,63.13116161616162,6249985.0,108509.0,176.20689655172413
35,0.0008186554204911932,99.0,63.13088888888889,6249958.0,120930.0,118.27586206896552
36,0.0010442417526212598,98.0,63.77369387755102,6249822.0,93848.0,267.2413793103448
37,0.001025963149078727,98.0,63.775479591836735,6249997.0,95520.0,250.6896551724138
38,0.0009724248107244565,98.0,63.774897959183676,6249940.0,100779.0,217.58620689655174
39,0.0008734636398477678,98.0,63.77493877551021,6249944.0,112197.0,159.6551724137931
40,0.0008205849598499501,98.0,63.77505102040816,6249955.0,119427.0,126.55172413793103
41,0.0010908559282959032,97.0,64.43247422680412,6249950.0,88921.0,325.1724137931035
42,0.001075161551336193,97.0,64.43298969072164,6250000.0,90219.0,308.62068965517244
43,0.0010122408089578093,97.0,64.4329587628866,6249997.0,95827.0,250.6896551724138
44,0.0009091164700038427,97.0,64.43279381443298,6249981.0,106697.0,184.48275862068965
45,0.0008401832812188721,97.0,64.43171134020619,6249876.0,115451.0,143.10344827586206
46,0.0010690899371909662,96.0,65.10413541666667,6249997.0,89796.0,308.62068965517244
47,0.0010632995514205017,96.0,65.103625,6249948.0,90285.0,300.3448275862069
48,0.001000886201324089,96.0,65.10366666666667,6249952.0,95915.0,250.6896551724138
49,0.0008843036109064112,96.0,65.10402083333334,6249986.0,108560.0,176.20689655172413
50,0.0008159657294393635,96.0,65.10358333333333,6249944.0,117652.0,134.82758620689657
51,0.0008050989600805099,96.0,65.10407291666667,6249991.0,119240.0,126.55172413793103
52,0.001061037583068074,95.0,65.78885263157895,6249941.0,89535.0,308.62068965517244
53,0.0009919391889069873,95.0,65.78844210526316,6249902.0,95772.0,250.6896551724138
54,0.0009169264624977076,95.0,65.78906315789473,6249961.0,103607.0,201.0344827586207
55,0.0008468306249610013,95.0,65.78915789473685,6249970.0,112183.0,159.6551724137931
56,0.0008307826847398338,95.0,65.78926315789474,6249980.0,114350.0,151.3793103448276
57,0.0010107635565973828,94.0,66.48786170212766,6249859.0,92999.0,275.51724137931035
58,0.0010035551474905783,94.0,66.48931914893616,6249996.0,93667.0,267.2413793103448
